annee;cnc_numero;visa;titre;genre;nationalite;distributeur;classification;date_sortie;art_et_essai;etablissements_s1;titre_clean;distributeur_clean
2018;2018004918;150114;THE HAPPY PRINCE;BIOGRAPHIE;ALLEMAGNE;OCEAN FILMS;TP;2018-12-19;OUI;41;the happy prince;ocean films
2019;2018005535;150042;THE HATE U GIVE - LA HAINE QU'ON DONNE;DRAME;ETATS UNIS;TWENTIETH CENTURY FOX FRANCE INC                                ;TP;2019-01-23;NON;176;the hate u give - la haine qu on donne;twentieth century fox france inc                                
2008;2008293473;120787;THE HAWK IS DYING - DRESSE POUR VIVRE;DRAME;ETATS UNIS;ZOOTROPE PRODUCTIONS                                            ;TP;2008-07-09;OUI;4;the hawk is dying - dresse pour vivre;zootrope productions                                            
2005;2005993733;113802;THE HIDDEN BLADE;DRAME;JAPON;CTV INTERNATIONAL                                               ;TP;2005-11-09;OUI;9;the hidden blade;ctv international                                               
1997;1995293672;088504;THE HIDDEN II;FANTASTIQUE;ETATS UNIS;METROPOLITAN FILMEXPORT                                         ;12;1997-07-02;NON;1;the hidden ii;metropolitan filmexport                                         
1999;1999293496;097344;THE HI-LO COUNTRY;WESTERN;ETATS UNIS;UNIVERSAL PICTURES FRANCE SA;TP;1999-06-23;OUI;94;the hi-lo country;universal pictures france sa
2013;2012003405;135384;THE HIT GIRLS;MUSICAL;ETATS UNIS;UNIVERSAL PICTURES INTERNATIONAL FRANCE SAS                     ;TP;2013-05-08;NON;170;the hit girls;universal pictures international france sas                     
2001;2001393437;102567;THE HOLE;HORREUR;GRANDE BRETAGNE;PATHE DISTRIBUTION                                              ;12;2001-06-20;NON;143;the hole;pathe distribution                                              
1999;1999993234;096918;THE HOLE;COMEDIE DRAMATIQUE;TAIWAN;LES FILMS DU CHERCHE MIDI;TP;1999-03-24;OUI;14;the hole;les films du cherche midi
2006;2006293971;116795;THE HOLIDAY;COMEDIE;ETATS UNIS;PARAMOUNT PICTURES FRANCE                                       ;TP;2006-12-27;NON;473;the holiday;paramount pictures france                                       
2014;2014001402;139619;THE HOMESMAN;DRAME;ETATS UNIS;EUROPACORP DISTRIBUTION                                         ;TPA;2014-05-14;OUI;229;the homesman;europacorp distribution                                         
2006;2007993175;116719;THE HOST;FANTASTIQUE;COREE DU SUD;OCEAN FILMS DISTRIBUTION;TP;2006-11-22;OUI;231;the host;ocean films distribution
1996;1995093197;081371;THE HOUR OF THE PIG;DRAME;GRANDE BRETAGNE / FRANCE;CIBY DISTRIBUTION;TP;1996-07-31;NON;2;the hour of the pig;ciby distribution
